company,year,listing_date,first_day_return,issue_price,gmp_value,sub_total
Sigachi Industries Ltd.,2021,2021-11-15,2.7039877300613497,163.0,225.0,64.89
Vibhor Steel Tubes Ltd.,2024,2024-02-20,1.9271523178807948,151.0,140.0,221.21
Paras Defence & Space Technologies Ltd.,2021,2021-10-01,1.85,175.0,220.0,215.09
BLS E-Services Ltd.,2024,2024-02-06,1.7462962962962962,135.0,155.0,94.98
Tata Technologies Ltd.,2023,2023-11-30,1.6285,500.0,475.0,51.18
Mamata Machinery Ltd.,2024,2024-12-27,1.5923868312757203,243.0,260.0,136.48
Latent View Analytics Ltd.,2021,2021-11-23,1.4802030456852793,197.0,265.0,185.32
Bajaj Housing Finance Ltd.,2024,2024-09-16,1.3570000000000002,70.0,72.0,49.63
Burger King India Ltd.,2020,2020-12-14,1.3066666666666669,60.0,43.0,85.64
Indian Railway Catering & Tourism Corp.Ltd.,2019,2019-10-14,1.276875,320.0,,109.21
