variable,type,n_valid,coverage,n_missing,n_zero,n_negative,mean,median,std,min,q25,q75,max,skew
issue_price,continuous,419,1.0,0,0,0,391.1241050119332,299.0,335.465960118787,11.0,147.5,526.5,2165.0,1.8887560272684591
total_issue_size,continuous,419,1.0,0,0,0,131870130.50596659,21280701.0,1012834466.1974627,2500175.0,12805000.0,48461497.0,16363636363.0,14.294822426183726
fresh_issue,continuous,338,0.8066825775656324,81,0,0,125535019.0443787,13051691.5,1122029504.2657983,622222.0,7096296.0,26272789.25,16363636363.0,13.062148775307644
ofs,continuous,336,0.801909307875895,83,0,0,38162941.20535714,12981928.0,93648700.12183838,310430.0,6287500.0,29917929.25,1025641025.0,6.456975121732446
lot_size,continuous,419,1.0,0,0,0,79.9307875894988,49.0,94.34187794942473,1.0,27.0,98.5,780.0,3.468207521106936
sub_total,continuous,419,1.0,0,0,0,33.98112171837709,17.64,41.720219157355594,0.95,2.525,52.894999999999996,256.33,2.003036938494439
gmp_value,continuous,398,0.9498806682577565,21,41,47,81.9001256281407,27.5,154.3426108293378,-92.0,2.0,87.0,1295.0,3.6345950843655146
revenue,continuous,415,0.9904534606205251,4,0,0,2729.0211566265057,557.86,25294.509405443197,3.77,248.26999999999998,1327.7150000000001,512279.21,19.85447016617465
profit,continuous,416,0.9928400954653938,3,0,45,17.997019230769244,37.120000000000005,1222.1969946676795,-23563.8,15.295,92.13499999999999,2175.92,-17.6069174309981
assets,continuous,415,0.9904534606205251,4,0,0,5667.115373493975,1014.46,22256.362411587445,24.77,423.195,3166.37,257832.16,8.878334794079857
net_worth,continuous,402,0.9594272076372315,17,1,5,910.8415671641792,391.505,5522.019566417709,-97931.9,166.20250000000001,1056.6399999999999,32761.73,-13.731808136505649
borrowing,continuous,370,0.883054892601432,49,13,0,2546.357891891892,195.095,16517.289630306357,0.0,54.67,591.0075,211851.6,11.067585380240248
brokers_subscribe,continuous,416,0.9928400954653938,3,34,0,6.110576923076923,5.0,4.595155505985523,0.0,2.0,9.0,22.0,0.7558265722580021
brokers_avoid,continuous,416,0.9928400954653938,3,308,0,0.3557692307692308,0.0,0.6860857262220749,0.0,0.0,1.0,4.0,2.1950310003050744
nifty_close,continuous,419,1.0,0,0,0,20793.642592109187,22055.69921875,4369.2840474351515,9955.2001953125,17514.5498046875,24654.69921875,26215.55078125,-0.6504296531122665
vix_close,continuous,419,1.0,0,0,0,14.943341273396568,14.039999961853027,4.151672748282086,9.68000030517578,11.865000247955322,16.454999923706055,51.470001220703125,2.3700000422418444
nifty_7d_return,continuous,419,1.0,0,0,210,0.00039766862409456525,-0.0002675299742932,0.01610911797729108,-0.0474814490550382,-0.00896053082140875,0.01152295824217045,0.0924890218545849,0.25381979401468424
nifty_30d_return,continuous,419,1.0,0,0,174,0.005691912911992365,0.0073139661010391,0.03677789688584057,-0.178169717561985,-0.015947373687906198,0.0300726457103778,0.1120433244197245,-0.4672688785214916
face_value,categorical,419,1.0,0,0,0,6.451073985680191,10.0,3.9347996601258393,1.0,2.0,10.0,10.0,-0.31381509799875545
gmp_available,categorical,419,1.0,0,21,0,0.9498806682577565,1.0,0.21845200294777992,0.0,1.0,1.0,1.0,-4.138560079145753
