,2019,2020,2021,2022,2023,2024,2025,2026
fresh_issue,0.3157894736842105,0.2,0.234375,0.3076923076923077,0.15254237288135594,0.15384615384615385,0.16346153846153846,0.17857142857142858
ofs,0.2631578947368421,0.13333333333333333,0.0625,0.20512820512820512,0.2033898305084746,0.2087912087912088,0.25,0.25
gmp_value,1.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
revenue,0.15789473684210525,0.0,0.015625,0.0,0.0,0.0,0.0,0.0
profit,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assets,0.15789473684210525,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0
net_worth,0.3157894736842105,0.0,0.015625,0.1282051282051282,0.05084745762711865,0.01098901098901099,0.009615384615384616,0.0
borrowing,0.631578947368421,0.13333333333333333,0.046875,0.1794871794871795,0.05084745762711865,0.07692307692307693,0.10576923076923077,0.14285714285714285
brokers_subscribe,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brokers_avoid,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
