,issue_price,total_issue_size,fresh_issue,ofs,lot_size,face_value,sub_total,gmp_value,gmp_available,revenue,profit,assets,net_worth,borrowing,brokers_subscribe,brokers_avoid,nifty_close,vix_close,nifty_7d_return,nifty_30d_return,first_day_return
issue_price,1.0,-0.2728,-0.4925,-0.1046,-0.9679,-0.1533,-0.0825,0.3207,0.0523,0.124,0.2542,0.1773,0.2701,-0.0109,0.1083,-0.0443,-0.138,0.1184,-0.0596,-0.0676,-0.0559
total_issue_size,-0.2728,1.0,0.8208,0.8017,0.2564,-0.2952,-0.2342,-0.275,0.0936,0.4975,0.2136,0.6539,0.5697,0.4377,0.2224,-0.0409,0.1264,-0.0579,-0.0372,-0.0166,-0.0224
fresh_issue,-0.4925,0.8208,1.0,0.4354,0.4676,-0.1793,-0.1651,-0.3186,0.161,0.4003,0.0094,0.4961,0.3506,0.5024,0.1616,0.0053,0.2792,-0.1741,-0.0618,-0.0048,-0.0397
ofs,-0.1046,0.8017,0.4354,1.0,0.1073,-0.2282,-0.2445,-0.2126,-0.0144,0.3358,0.2381,0.5413,0.5969,0.1647,0.1292,0.0317,-0.0272,0.0595,-0.0142,-0.011,-0.006
lot_size,-0.9679,0.2564,0.4676,0.1073,1.0,0.1481,0.1047,-0.3029,-0.0241,-0.1493,-0.2232,-0.2018,-0.2363,0.003,-0.0921,0.0115,0.1643,-0.1219,0.0399,0.0483,0.0587
face_value,-0.1533,-0.2952,-0.1793,-0.2282,0.1481,1.0,0.1029,-0.0244,-0.0966,-0.125,-0.0597,-0.1196,-0.1114,-0.0019,-0.103,0.0031,-0.1306,0.1116,0.0533,0.0253,-0.0218
sub_total,-0.0825,-0.2342,-0.1651,-0.2445,0.1047,0.1029,1.0,0.7252,0.0468,-0.1653,0.0746,-0.2884,-0.2058,-0.2263,0.2916,-0.3727,0.066,-0.0992,0.0722,0.1416,0.7025
gmp_value,0.3207,-0.275,-0.3186,-0.2126,-0.3029,-0.0244,0.7252,1.0,,-0.0672,0.1915,-0.1386,-0.0366,-0.1865,0.306,-0.3617,-0.0856,-0.0318,0.1791,0.2044,0.7108
gmp_available,0.0523,0.0936,0.161,-0.0144,-0.0241,-0.0966,0.0468,,1.0,-0.0142,-0.0262,-0.022,0.0208,-0.0477,0.1022,-0.045,0.3676,-0.1483,-0.0647,-0.0299,-0.0123
revenue,0.124,0.4975,0.4003,0.3358,-0.1493,-0.125,-0.1653,-0.0672,-0.0142,1.0,0.5069,0.7173,0.5885,0.5238,0.2085,-0.115,0.1088,-0.138,-0.0425,0.0406,-0.0546
profit,0.2542,0.2136,0.0094,0.2381,-0.2232,-0.0597,0.0746,0.1915,-0.0262,0.5069,1.0,0.3664,0.4971,0.1853,0.387,-0.3581,0.0156,-0.0958,-0.0177,0.0799,0.0848
assets,0.1773,0.6539,0.4961,0.5413,-0.2018,-0.1196,-0.2884,-0.1386,-0.022,0.7173,0.3664,1.0,0.8362,0.7041,0.2193,-0.041,-0.0118,0.0184,-0.0303,0.0033,-0.1028
net_worth,0.2701,0.5697,0.3506,0.5969,-0.2363,-0.1114,-0.2058,-0.0366,0.0208,0.5885,0.4971,0.8362,1.0,0.4629,0.2944,-0.1164,-0.0158,0.055,-0.0473,-0.0735,-0.0624
borrowing,-0.0109,0.4377,0.5024,0.1647,0.003,-0.0019,-0.2263,-0.1865,-0.0477,0.5238,0.1853,0.7041,0.4629,1.0,0.0731,-0.0133,0.077,-0.0699,-0.0178,0.0689,-0.1415
brokers_subscribe,0.1083,0.2224,0.1616,0.1292,-0.0921,-0.103,0.2916,0.306,0.1022,0.2085,0.387,0.2193,0.2944,0.0731,1.0,-0.3774,0.1453,-0.2153,0.0193,0.0636,0.256
brokers_avoid,-0.0443,-0.0409,0.0053,0.0317,0.0115,0.0031,-0.3727,-0.3617,-0.045,-0.115,-0.3581,-0.041,-0.1164,-0.0133,-0.3774,1.0,-0.1737,0.1553,-0.0178,-0.0591,-0.2688
nifty_close,-0.138,0.1264,0.2792,-0.0272,0.1643,-0.1306,0.066,-0.0856,0.3676,0.1088,0.0156,-0.0118,-0.0158,0.077,0.1453,-0.1737,1.0,-0.5551,-0.0503,0.0039,-0.0831
vix_close,0.1184,-0.0579,-0.1741,0.0595,-0.1219,0.1116,-0.0992,-0.0318,-0.1483,-0.138,-0.0958,0.0184,0.055,-0.0699,-0.2153,0.1553,-0.5551,1.0,-0.074,-0.1699,0.0218
nifty_7d_return,-0.0596,-0.0372,-0.0618,-0.0142,0.0399,0.0533,0.0722,0.1791,-0.0647,-0.0425,-0.0177,-0.0303,-0.0473,-0.0178,0.0193,-0.0178,-0.0503,-0.074,1.0,0.3979,0.1919
nifty_30d_return,-0.0676,-0.0166,-0.0048,-0.011,0.0483,0.0253,0.1416,0.2044,-0.0299,0.0406,0.0799,0.0033,-0.0735,0.0689,0.0636,-0.0591,0.0039,-0.1699,0.3979,1.0,0.2137
first_day_return,-0.0559,-0.0224,-0.0397,-0.006,0.0587,-0.0218,0.7025,0.7108,-0.0123,-0.0546,0.0848,-0.1028,-0.0624,-0.1415,0.256,-0.2688,-0.0831,0.0218,0.1919,0.2137,1.0
