variable,year,n,spearman,ci_lo,ci_hi
gmp_value,2019,0,,,
gmp_value,2020,12,0.7250448947301884,0.04315217391304347,0.9928192929527345
gmp_value,2021,64,0.716801856524312,0.5737156140651706,0.8088443452765605
gmp_value,2022,38,0.6745854450417866,0.4447451828444977,0.8008402333189288
gmp_value,2023,59,0.5956588865131651,0.3921163331522354,0.7501243396590256
gmp_value,2024,90,0.7316306610936847,0.6221556742100591,0.8040365996504303
gmp_value,2025,104,0.6607060086478836,0.5352437725647093,0.7606976370200775
gmp_value,2026,28,0.6959540519425632,0.3800031484875887,0.88976748486011
sub_total,2019,19,0.787719298245614,0.4711357369791915,0.9222438397280811
sub_total,2020,14,0.6703296703296703,0.25882102272727275,0.9123073865720922
sub_total,2021,64,0.7663461538461537,0.6601053852992217,0.8348613590011363
sub_total,2022,38,0.6230028489919651,0.3685424328611824,0.7855356546582094
sub_total,2023,59,0.7376388077147868,0.6042080365715324,0.8208914441776319
sub_total,2024,90,0.6989533644268954,0.5958031015540712,0.7821183266868309
sub_total,2025,104,0.6507165547781463,0.5288086342462154,0.7578579071237326
sub_total,2026,28,0.46305418719211827,0.030847072737488216,0.7809405902701043
brokers_avoid,2019,16,0.1392433002163215,-0.34566585726106736,0.5811376219169853
brokers_avoid,2020,14,-0.5209970861201204,-0.7819423811688179,-0.16684528453660985
brokers_avoid,2021,64,-0.4726114596139347,-0.6498219252585852,-0.25394036191863156
brokers_avoid,2022,38,-0.31334193330860105,-0.6034798123246808,0.015415690707642815
brokers_avoid,2023,59,-0.12522185119506463,-0.36766019807578065,0.1140696447893461
brokers_avoid,2024,90,-0.36297057167621166,-0.48936922620929807,-0.21628296704792185
brokers_avoid,2025,104,-0.017187312458104467,-0.20858738569442148,0.1766762657746678
brokers_avoid,2026,28,-0.34186809961367803,-0.649951312766294,0.0826653115066
brokers_subscribe,2019,16,0.36277741161233323,-0.21047046344902748,0.7475090337033704
brokers_subscribe,2020,14,0.38895621255732027,-0.2541428482842565,0.7462970915282794
brokers_subscribe,2021,64,0.31337498670787456,0.08579549948354566,0.5409496872777768
brokers_subscribe,2022,38,0.23516196061638503,-0.07260609172713042,0.50767577470386
brokers_subscribe,2023,59,0.4169071046718579,0.20120400568753838,0.5904740120804204
brokers_subscribe,2024,90,0.23788657748335126,0.014436422339261732,0.4443969788415552
brokers_subscribe,2025,104,0.15660154552337086,-0.047732195850068306,0.33787252025899034
brokers_subscribe,2026,28,0.30801505497151654,-0.08392474830651271,0.6347322762634392
nifty_30d_return,2019,19,-0.16666666666666666,-0.5969480149483682,0.23655118190441618
nifty_30d_return,2020,14,0.35242376240609624,-0.19025418945964417,0.7183217903342489
nifty_30d_return,2021,64,0.10284183614187088,-0.1692551468800948,0.3435482090415957
nifty_30d_return,2022,38,0.3204552993482034,0.010038049778358179,0.5862674419645187
nifty_30d_return,2023,59,0.21513234518115312,-0.04439532456802428,0.45816410625479714
nifty_30d_return,2024,90,0.2581558813852928,0.05803708028907394,0.43443960909165813
nifty_30d_return,2025,104,-0.04457071260275908,-0.26797481805363554,0.14503335165830195
nifty_30d_return,2026,28,0.12765380473477206,-0.23115916242972334,0.49205814046913554
nifty_7d_return,2019,19,-0.2912280701754386,-0.6933677607098558,0.21624398257693192
nifty_7d_return,2020,14,0.013215891090228608,-0.5710046058683714,0.5594073069489979
nifty_7d_return,2021,64,0.05901211572870213,-0.18272966660791398,0.3026466407162826
nifty_7d_return,2022,38,-0.11623071308326229,-0.44984261846639545,0.24041375296467102
nifty_7d_return,2023,59,0.20045891620276468,-0.05795606459249379,0.4449153369868171
nifty_7d_return,2024,90,0.2787550016565647,0.06910594930471993,0.4545693597607752
nifty_7d_return,2025,104,0.15959879061514667,-0.04490808189325632,0.3770217511269327
nifty_7d_return,2026,28,0.18134510458029848,-0.2117953255206304,0.48807887567986663
