,chars,chars,chars,chars,chars,chars,words,words,words,words,words,words
,count,mean,median,std,min,max,count,mean,median,std,min,max
year,,,,,,,,,,,,
2019,19,119153.8,130741.0,42367.4,26143,182232,19,18650.1,20276.0,6564.0,4159,28381
2020,14,146439.6,150609.0,27551.7,93169,182190,14,22827.6,23345.5,4220.3,14554,28498
2021,64,169488.9,173863.5,33237.8,89329,254377,64,26362.8,26745.5,5103.7,14082,39713
2022,38,180073.3,171705.0,34661.2,112557,261819,38,28056.3,26823.5,5331.9,17565,40337
2023,59,186454.7,183276.0,36493.5,36361,270544,59,29036.7,28942.0,5679.9,5658,42715
2024,90,201779.7,197241.5,39937.0,127415,291896,90,31342.4,30424.0,6184.5,19823,45552
2025,104,202687.7,198401.5,42268.8,11618,311149,104,31361.9,30701.5,6510.9,1826,47850
2026,28,213424.1,201016.0,42121.5,141836,341500,28,32634.8,30811.5,6418.1,22062,52071
